DRG,DRG_Cost_FFyear2012,DRG_Cost_FFyear2013,DRG_Cost_FFyear2014,DRG_Cost_FFyear2015,DRG_Cost_FFyear2016,DRG_Cost_FFyear2017,DRG_Cost_FFyear2018,DRG_Cost_FFyear2019,_2012_costweight,_2012_average_total,_2013_costweight,_2013_average_total,_2014_costweight,_2014_average_total,_2015_costweight,_2015_average_total,_2012_private,_2012_paed,_2013_private,_2013_paed,_2014_private,_2014_paed,_2015_private,_2015_paed,_2016_private,_2016_paed,ave_charge_1112,ave_charge_1213,ave_charge_1314,ave_charge_1415,ave_charge_1516,ave_charge_1617,ave_charge_1718,ave_charge_1819
,,,,,,5171.296973,4885.387948,5027.314446,,,,,,,,,,,,,,,,,,,,,,,,,,
801A,34750,35124,37604,45957,47003,50873.84136,48713.52139,51670.42251,7,34750,7,35124,8,37604,9,45957,0.14,1.58,0.13,1.42,0.77,1.54,0.15,1.96,0.15,1.77,20986,20464,21688,24800,22128.68,25322.82,23333.88,23807.78
801B,14963,14799,15489,19338,20121,21424.67827,21213.90886,21076.65002,3,14963,3,14799,3,15489,4,19338,0.17,0.85,0.18,0.92,0.69,1.23,0.2,1.38,0.18,1.31,11528,11487,11733,11086,11412.14,12428.45,13859.4,12883.81
801C,6651,6575,7536,7317,5480,8052.903926,8276.252407,8681.727992,1,6651,1,6575,2,7536,1,7317,0.13,0.8,0.18,0.84,0.68,1,0.25,1.16,0.3,1.15,5474,5027,4938,4607,5103.08,4092.92,5912.36,5826.61
960Z,4590,6037,6292,7139,8792,16315.97796,5905.146793,3644.551471,1,4590,1,6037,1,6292,1,7139,,,,,,,,,,,283,1328,1174,933,1263.55,685.17,2935.11,3187.11
961Z,5921,3036,1423,5160,3363,6709.138274,3207.09013,1967.821419,1,5921,1,3036,0,1423,1,5160,,,,,,,,,,,665,681,5476,,2226.92,1380.47,10276.91,2264.72
963Z,3595,1543,4322,2992,5456,2010.350489,3568.300326,4479.536731,1,3595,0,1543,1,4322,1,2992,,,,,,,,,,,,,,,0,,,
A01Z,124573,129494,128970,165438,146458,162900.8,170872.2,178843.6,26,124573,26,129494,26,128970,33,165438,0.1,1.11,0.12,1.06,0.76,1,0.11,1,0.11,1.1,,,,,,,,
A03Z,134644,135520,122333,141832,166309,161020.2,167984.4,174948.6,28,134644,28,135520,25,122333,28,141832,0.1,1,0.12,1,0.76,1,0.11,1,0.11,1,,,,,,,,
A05Z,187536,194351,162782,146505,169953,147321.8,139020.6,130719.4,39,187536,40,194351,33,162782,29,146505,0.1,1,0.12,1,0.76,1,0.11,1,0.11,1,,,,,,,,
A06A,214043,212040,204665,209440,223719,217807,219482.2,221157.4,44,214043,43,212040,41,204665,42,209440,0.09,1.19,0.12,1.16,0.76,1,0.1,1,0.1,1,101561,122343,118466,124330,120553.97,120643,136085.77,139424.09
A06B,91023,92193,110193,125288,130159,143181.3,154318,165454.7,19,91023,19,92193,22,110193,25,125288,0.12,1,0.12,1.07,0.76,1.24,0.15,1.38,0.14,1.38,54379,57545,66093,83827,70560.38,85845.76,82004.03,84836.8
A06C,54712,52291,71473,74569,74993,84459.6,90743.6,97027.6,11,54712,11,52291,14,71473,15,74569,0.11,1,0.15,1.05,0.72,1.1,0.11,1.23,0.11,1.24,38766,,46557,55648,,58399.03,53876.56,53541.74
A06D,38609,36067,128777,136432,142957,189286.7,220192.8,251098.9,8,38609,7,36067,,,,,,,,,0.78,1,,,,,29880,26379,28130,28130,30731.37,,,
A07A,42589,41890.5,216203,152173,152812,220352.05,253424.9,286497.75,,,,,44,216203,30,152173,0.06,2,0.06,1.98,,,0.07,1,0.07,1,,,,,,,,
A07B,42589,41890.5,72656,50943,54293,62212.45,65458.5,68704.55,,,,,15,72656,10,50943,0.06,1,0.05,1,,,0.07,1,0.05,1,,,,,,,,
A07Z,85178,83781,144430,101558,103552.5,120057.7,125510.3,130962.9,18,85178,17,83781,,,,,,,,,0.8,1.82,,,,,13208,9618,11413,11413,10515.5,10156.5,9797.5,9438.5
